period,year,quarter,municipio,price_nueva_eur_m2,price_usada_eur_m2
2005Q1,2005,1,Sevilla,1770.6,
2005Q2,2005,2,Sevilla,1866.3,
2005Q3,2005,3,Sevilla,1994.2,
2005Q4,2005,4,Sevilla,1977.7,
2006Q1,2006,1,Sevilla,2060.1,
2006Q2,2006,2,Sevilla,2117.4,
2006Q3,2006,3,Sevilla,2097.0,
2006Q4,2006,4,Sevilla,2158.9,
2007Q1,2007,1,Sevilla,2316.1,
2007Q2,2007,2,Sevilla,2277.7,
2007Q3,2007,3,Sevilla,2280.4,
2007Q4,2007,4,Sevilla,2336.8,
2008Q1,2008,1,Sevilla,2454.3,
2008Q2,2008,2,Sevilla,2605.9,
2008Q3,2008,3,Sevilla,2524.4,
2008Q4,2008,4,Sevilla,2552.9,
2009Q1,2009,1,Sevilla,2369.8,
2009Q2,2009,2,Sevilla,2350.7,
2009Q3,2009,3,Sevilla,2313.3,
2009Q4,2009,4,Sevilla,2265.4,
2010Q1,2010,1,Sevilla,2874.1,2252.9
2010Q2,2010,2,Sevilla,2810.2,2177.3
2010Q3,2010,3,Sevilla,2763.1,2146.3
2010Q4,2010,4,Sevilla,2590.4,2142.3
2011Q1,2011,1,Sevilla,2363.2,2080.1
2011Q2,2011,2,Sevilla,2401.6,2036.5
2011Q3,2011,3,Sevilla,2381.5,2014.5
2011Q4,2011,4,Sevilla,2490.5,2020.3
2012Q1,2012,1,Sevilla,2483.4,1972.9
2012Q2,2012,2,Sevilla,2235.9,1823.6
2012Q3,2012,3,Sevilla,2155.5,1743.0
2012Q4,2012,4,Sevilla,2276.7,1714.3
2013Q1,2013,1,Sevilla,1832.3,1726.4
2013Q2,2013,2,Sevilla,2049.4,1632.8
2013Q3,2013,3,Sevilla,2101.6,1591.9
2013Q4,2013,4,Sevilla,2022.1,1598.1
2014Q1,2014,1,Sevilla,1810.3,1518.6
2014Q2,2014,2,Sevilla,1921.8,1575.9
2014Q3,2014,3,Sevilla,1798.6,1531.3
2014Q4,2014,4,Sevilla,1950.2,1607.0
2015Q1,2015,1,Sevilla,1777.5,1568.9
2015Q2,2015,2,Sevilla,1803.2,1630.2
2015Q3,2015,3,Sevilla,1884.7,1568.8
2015Q4,2015,4,Sevilla,1886.8,1567.9
2016Q1,2016,1,Sevilla,1853.6,1456.8
2016Q2,2016,2,Sevilla,1843.6,1493.8
2016Q3,2016,3,Sevilla,1639.4,1509.4
2016Q4,2016,4,Sevilla,1713.7,1413.6
2017Q1,2017,1,Sevilla,1890.8,1478.7
2017Q2,2017,2,Sevilla,1742.3,1516.4
2017Q3,2017,3,Sevilla,1876.7,1470.7
2017Q4,2017,4,Sevilla,1844.1,1520.2
2018Q1,2018,1,Sevilla,1754.4,1464.0
2018Q2,2018,2,Sevilla,1653.2,1564.1
2018Q3,2018,3,Sevilla,1693.8,1606.0
2018Q4,2018,4,Sevilla,1853.1,1627.7
2019Q1,2019,1,Sevilla,1922.6,1727.5
2019Q2,2019,2,Sevilla,1924.1,1643.0
2019Q3,2019,3,Sevilla,2094.7,1670.7
2019Q4,2019,4,Sevilla,2276.3,1707.0
2020Q1,2020,1,Sevilla,2225.5,1819.3
2020Q2,2020,2,Sevilla,2303.4,1684.4
2020Q3,2020,3,Sevilla,2189.0,1758.7
2020Q4,2020,4,Sevilla,2183.9,1875.6
2021Q1,2021,1,Sevilla,2326.8,1823.1
2021Q2,2021,2,Sevilla,2143.9,1885.9
2021Q3,2021,3,Sevilla,2311.7,1898.5
2021Q4,2021,4,Sevilla,2256.8,1935.1
2022Q1,2022,1,Sevilla,2209.2,2022.6
2022Q2,2022,2,Sevilla,2233.2,1862.6
2022Q3,2022,3,Sevilla,2416.7,1881.0
2022Q4,2022,4,Sevilla,2571.5,1987.6
2023Q1,2023,1,Sevilla,2391.7,2075.0
2023Q2,2023,2,Sevilla,2573.6,1958.5
2023Q3,2023,3,Sevilla,2401.9,1972.5
2023Q4,2023,4,Sevilla,2592.6,2109.6
2024Q1,2024,1,Sevilla,2376.7,2133.3
2024Q2,2024,2,Sevilla,2429.6,2103.0
2024Q3,2024,3,Sevilla,2497.3,1991.7
2024Q4,2024,4,Sevilla,2651.0,2207.1
2025Q1,2025,1,Sevilla,2565.6,2268.9
2025Q2,2025,2,Sevilla,2603.5,2304.3
2025Q3,2025,3,Sevilla,2720.7,2339.4
2025Q4,2025,4,Sevilla,2804.6,2532.2
